id,source,text,sentiment,sarcasm
sr-00001,https://www.youtube.com/watch?v=-_xotyeinSc,"Zasto je na ovoj utakmici Solskjaer igrao levog beka, to je pravo pitanje...",neutral,yes
sr-00002,https://www.youtube.com/watch?v=-_xotyeinSc,8:57 spominju kikindu,neutral,no
sr-00003,https://www.youtube.com/watch?v=-_xotyeinSc,"Ja sam bolan zemlju izgubio, boli me uvo za pritisak !",negative,no
sr-00004,https://www.youtube.com/watch?v=-_xotyeinSc,"23:18, svako ima nekog tako",neutral,no
sr-00005,https://www.youtube.com/watch?v=-_xotyeinSc,Mozeli mrtav ladan sivi kamioni crvene boje,neutral,no
sr-00006,https://www.youtube.com/watch?v=-_xotyeinSc,Najbolji film možda šta opisuje sve slojeve društva od dna do vrha sportiste shanere umjetnike izbjeglice crkvu navijače kladionica re neradnike radnike svemir će kriminalce roditelje i ko zna šta u sat i po nevjerojatno remek djelo,positive,no
sr-00007,https://www.youtube.com/watch?v=-_xotyeinSc,"Da, uvek se divimo zapadu a nase mrzimo! Strasno obijasniti to",negative,yes
sr-00008,https://www.youtube.com/watch?v=-_xotyeinSc,Ali kengur dobija zuti za pljuvanje i zuti za penal i opet brani sta englezi 3 zuta pa crveni,neutral,no
sr-00009,https://www.youtube.com/watch?v=-_xotyeinSc,"Sapic nekada bio voljen ,a sada ,tuzna prica,sta su ljudi u stanju da urade zbog para,huljin potrcko.",negative,no
sr-00010,https://www.youtube.com/watch?v=-_xotyeinSc,Stigli ćevapi za našu dragu gošću kengrrr madrrr,neutral,no
sr-00011,https://www.youtube.com/watch?v=-_xotyeinSc,Dva puta ulazim u kadrove u ovom filmu :),neutral,no
sr-00012,https://www.youtube.com/watch?v=-_xotyeinSc,Jedan od filmova koje znam napamet u reč..antologijsko remek delo i pokazatelj mentaliteta ovog naseg napacenog naroda,positive,no
sr-00013,https://www.youtube.com/watch?v=-_xotyeinSc,probaj...žabarijana...nemoj da si klosar,negative,no
sr-00014,https://www.youtube.com/watch?v=-_xotyeinSc,Cijela Zenica je znala ove fraze,neutral,no
sr-00015,https://www.youtube.com/watch?v=-_xotyeinSc,Ja ne mogu ovu Karan folirantkinju,negative,no
sr-00016,https://www.youtube.com/watch?v=-_xotyeinSc,Klinci gou tu skul.,neutral,no
sr-00017,https://www.youtube.com/watch?v=-_xotyeinSc,"Ali majca je najjača ""METALLICA""",positive,no
sr-00018,https://www.youtube.com/watch?v=-_xotyeinSc,"Genijalna glumačka ekipa, preinteligentan humor, replike da se ukenjaš od smijeha, sve što današnjim filmovima fali. ""Vodi je u mrak da ti sija!""",positive,no
sr-00019,https://www.youtube.com/watch?v=-_xotyeinSc,Odličan film 35:33 39:01-39:08 navijač liverpoola 59:19-59:30 1:00:26-1:00:33 živac u mraku 1:02:22 ode kemijska 1:08:44-1:08:48 1:11:34-1:11:48,positive,no
sr-00020,https://www.youtube.com/watch?v=-_xotyeinSc,Do 2026 godine million pregleda u najavi,positive,no
sr-00021,https://www.youtube.com/watch?v=-_xotyeinSc,Najzabavniji film,positive,no
sr-00022,https://www.youtube.com/watch?v=-_xotyeinSc,Gospodjo je li vam neko rekao da ste rodili idiota,positive,yes
sr-00023,https://www.youtube.com/watch?v=-_xotyeinSc,Kengur je stekao status kultnog SrBskog filma,positive,no
sr-00024,https://www.youtube.com/watch?v=-_xotyeinSc,"stanujem u tom kraju,tu i idem u kladionicu,doduse ti lavovi vise ne postoje,sad je tu market,mozart je deset metara tu dalje,95% filma he snuiman u vojvode stepe,deo sa kengurovim stanom je sniman u kumodraskoj,mislim",neutral,no
sr-00025,https://www.youtube.com/watch?v=-_xotyeinSc,Cile najjaci lik,positive,no
sr-00026,https://www.youtube.com/watch?v=-_xotyeinSc,"Kultni film, oslikava jedno srecno vreme, i Beograd, kad je bio Beograd, ulice, ljudi, spika, nostalgija. Danas, Evropa, pakistanci, kinezi. A film, sta reći, svaka rečenica je kultna i oslikava neko drugacije vreme i mesto.",positive,no
sr-00027,https://www.youtube.com/watch?v=-_xotyeinSc,COM CREVERO ERO MACROPUS...na latimskom ime filma,neutral,yes
sr-00028,https://www.youtube.com/watch?v=-_xotyeinSc,Koja pesma se čuje u pozadini 58:15,neutral,no
sr-00029,https://www.youtube.com/watch?v=-_xotyeinSc,"Ono prosečno klošarsko društvo iz kraja, najbolje fore i zajebancije, ono društvo od 16,17 do 30 godine",positive,no
sr-00030,https://www.youtube.com/watch?v=-_xotyeinSc,"Ceo film je sjajan, ali scena paljenja vojnog generatora je legendarna... Nula teksta, cista gluma, bravo!",positive,no
sr-00031,https://www.youtube.com/watch?v=-_xotyeinSc,"Uvek rado pogledam ovaj film, podseća me na zadnju epohu iole normalnog i srećnog vremena. Svakako jedan od poslednjih dobrih domaćih filmova.",positive,no
sr-00032,https://www.youtube.com/watch?v=-_xotyeinSc,Šapić nije ni izašao iz uloge,neutral,no
sr-00033,https://www.youtube.com/watch?v=-_xotyeinSc,"Kad porastem biće kladionica 100m od škole , i to ne jedna nego 10. Kockanje na sve strane .",negative,yes
sr-00034,https://www.youtube.com/watch?v=-_xotyeinSc,Kakav danak neiskustvu joj joj joj,neutral,no
sr-00035,https://www.youtube.com/watch?v=-_xotyeinSc,"Kultni film...Remek srpske kinematografije,gledao 50 puta i opet jedinstven...",positive,no
sr-00036,https://www.youtube.com/watch?v=-_xotyeinSc,Film je o mladima koji žive u logoru !!!!,neutral,no
sr-00037,https://www.youtube.com/watch?v=-_xotyeinSc,ovde prazni stadioni ko da vlada kuga....,neutral,yes
sr-00038,https://www.youtube.com/watch?v=-_xotyeinSc,"Znam sve od.pocetka do kraja napamet, ali i dalje rado pogledam",positive,no
sr-00039,https://www.youtube.com/watch?v=-_xotyeinSc,A račun za sveće na početku? Zato treba istrebiti sve parazite,neutral,no
sr-00040,https://www.youtube.com/watch?v=-_xotyeinSc,Brate Bože snimi jos jedan ovakav film!,positive,no
sr-00041,https://www.youtube.com/watch?v=-_xotyeinSc,Mi smo sedeli ovde i duvali smo....duvanili,neutral,yes
sr-00042,https://www.youtube.com/watch?v=-_xotyeinSc,Kakav film pogledao 100 puta..bravo susjedi,positive,no
sr-00043,https://www.youtube.com/watch?v=-_xotyeinSc,Ovaj film ja tako los da je dobar.,negative,yes
sr-00044,https://www.youtube.com/watch?v=-_xotyeinSc,Ovo je jedan od najboljih filmova ikad.. 1.1.2026. Almaaaa,positive,no
sr-00045,https://www.youtube.com/watch?v=-_xotyeinSc,Semenke svih zemalja ujedinite se…,neutral,yes
sr-00046,https://www.youtube.com/watch?v=-_xotyeinSc,37:57 GREŠKA U FILMU. Ako je Braca kupio 7 karata onda klošar treba da sedne 5 mesta dalje.,negative,no
sr-00047,https://www.youtube.com/watch?v=-_xotyeinSc,"Prvi UFO domaći film. Izašli tek iz 90ih i nije nas globalizacija toliko zahvatila, pa je zato film prijatan.",neutral,no
sr-00048,https://www.youtube.com/watch?v=-_xotyeinSc,Vodi je u mrak da ti sija,positive,yes
sr-00049,https://www.youtube.com/watch?v=-_xotyeinSc,Maratonci trče počasni krug i Ko to tamo peva zajedno ovom remek delu ne mogu ni da prismrde.,positive,no
sr-00050,https://www.youtube.com/watch?v=-_xotyeinSc,I tako je nastao kešaut,neutral,yes
sr-00051,https://www.youtube.com/watch?v=-_xotyeinSc,"1:02:10 Kako bre 1:1 kad je odbranio? Kako bre ljudi, šta je bre ovo ljudi?",neutral,no
sr-00052,https://www.youtube.com/watch?v=-_xotyeinSc,Najbolji domaci film svih vremena. Svaka recenica u filmu je fenomenalna.,positive,no
sr-00053,https://www.youtube.com/watch?v=-_xotyeinSc,"Kakvi su ovi beogradjani,muvaju ribu sto godina,umjesto pet minuta",negative,yes
sr-00054,https://www.youtube.com/watch?v=-_xotyeinSc,Poslednje generacije rodjene u nekom drugom vremenu u svojim poznim dvadesetim/ranim tridesetim koje su ovom filmu odrazile duh mladih u tranzicionom periodu iz neuznesenih old skul fazona nakon cega sledi era primitivnog i vestackog humora,positive,no
sr-00055,https://www.youtube.com/watch?v=-_xotyeinSc,"Slika i prilika Beograda,umjesto sedam hiljada,prodao za petsto eura",negative,yes
sr-00056,https://www.youtube.com/watch?v=-_xotyeinSc,"Odličan scenario i gluma... Ima taj gradski šmek... Nisam fan filma, inače",positive,no
sr-00057,https://www.youtube.com/watch?v=-_xotyeinSc,Takva glumacka ekipa a toliko dosadan film...lele majko,negative,no
sr-00058,https://www.youtube.com/watch?v=-_xotyeinSc,8:47 Gde si Ljubice cobanicee..Daj svima pice! pa onda ENTER!,neutral,no
sr-00059,https://www.youtube.com/watch?v=-_xotyeinSc,"26:37 “ne znam, ja ne volim američke filmove”…reče Marija-10 godina kasnije udaje se za holivudskog producenta (američkih filmova).",negative,no
sr-00060,https://www.youtube.com/watch?v=-_xotyeinSc,"Dobro su ovom Ganguli nasli ulogu u filmu, takav je i u stvarnosti, kriminalac i siledzija :-)",negative,yes
sr-00061,https://www.youtube.com/watch?v=-_xotyeinSc,Beogradsko preseravanje,negative,no
sr-00062,https://www.youtube.com/watch?v=-_xotyeinSc,Ako je kupio sedam karata a mesta numerisana kako onda beskucnik pored njih,neutral,no
